1.2.1.2. A fogyasztóiár-index fogyasztási fõcsoportok szerint, és a nyugdíjas fogyasztóiár-index, havonta;;;;;;;;;; 
Év;Idõszak;Élelmiszerek;Szeszes italok, dohányáruk;Ruházkodási cikkek;Tartós fogyasztási cikkek;Háztartási energia, fûtés;Egyéb cikkek, üzemanyagok;Szolgáltatások;Összesen;Nyugdíjas fogyasztóiár-index
Az elõzõ év azonos idõszaka = 100,0%;;;;;;;;;;
2021.;január;103,9;109,9;97,9;103,1;100,3;99,9;101,7;102,7;102,9
;február;103,4;109,9;98,4;103,8;100,3;102,7;101,7;103,1;103,2
;március;102,7;110,3;98,2;103,6;100,3;107,1;101,3;103,7;103,4
;április;102,4;112,2;99,8;103,4;100,4;113,9;102,0;105,1;104,3
;május;102,6;112,2;101,0;103,5;100,4;113,4;102,1;105,1;104,4
;június;103,2;112,2;101,2;103,7;100,4;110,4;103,8;105,3;104,6
;július;103,1;111,1;99,8;103,8;100,4;108,6;102,9;104,6;104,2
;augusztus;103,7;110,5;100,5;104,4;100,4;109,2;102,8;104,9;104,4
;szeptember;104,4;111,2;100,5;105,1;100,6;109,8;103,2;105,5;105,0
;október;105,2;111,3;100,9;105,4;100,6;113,0;103,7;106,5;105,7
;november;106,0;111,0;101,8;106,6;100,9;115,1;104,6;107,4;106,5
;december;108,0;108,9;102,8;107,5;101,2;111,7;105,0;107,4;106,7
2022.;január;110,1;107,7;104,0;107,9;101,2;111,3;105,2;107,9;107,4
;február;111,3;108,2;103,9;108,3;101,3;110,8;105,5;108,3;107,8
;március;113,0;107,0;104,1;109,5;101,5;108,9;106,0;108,5;108,3
;április;115,6;105,0;103,7;111,1;101,6;110,0;106,3;109,5;109,3
;május;118,6;106,4;104,0;111,4;101,6;110,5;106,8;110,7;110,7
;június;122,1;107,3;104,3;112,4;101,6;111,6;105,6;111,7;111,8
;július;127,0;111,2;104,9;114,0;101,6;110,9;106,8;113,7;113,8
;augusztus;130,9;113,1;105,5;114,8;102,1;111,9;107,7;115,6;115,7
;szeptember;135,2;113,2;106,7;114,7;162,1;112,9;108,2;120,1;121,9
